Punkt,Lon,Lat,Data,Godzina,Rok,Miesiac,Sezon,temperature_2m,dewpoint_temperature_2m,wilgotnosc_wzgledna,u_component_of_wind_10m,v_component_of_wind_10m,predkosc_wiatru,kierunek_wiatru,surface_pressure,total_precipitation_hourly
roztoki,21.540778,49.744333,2017-01-01,00:00,2017,1,ZIMA,265.3777770996094,263.5297088623047,86.57549245139235,0.39959716796875,2.53790283203125,2.569168869786664,261.05214060373385,98991.80859375,3.5762786865234375E-7
roztoki,21.540778,49.744333,2017-01-01,01:00,2017,1,ZIMA,265.16639709472656,263.4216613769531,87.25993967255435,0.4162750244140625,2.561248779296875,2.5948564903286386,260.768542411349,98942.69140625,4.76837158203125E-7
roztoki,21.540778,49.744333,2017-01-01,02:00,2017,1,ZIMA,264.8733215332031,263.28721618652344,88.32786919434005,0.45391845703125,2.5688934326171875,2.6086884508843418,259.97938176218645,98887.50390625,4.1909515857696533E-7
roztoki,21.540778,49.744333,2017-01-01,03:00,2017,1,ZIMA,264.81910705566406,263.2628173828125,88.53056946720173,0.4813385009765625,2.59771728515625,2.641935246390782,259.50255758094056,98812.73046875,4.2282044887542725E-7
roztoki,21.540778,49.744333,2017-01-01,04:00,2017,1,ZIMA,264.95399475097656,263.4378356933594,88.82306590004812,0.48968505859375,2.655517578125,2.700289811175984,259.551866309767,98769.12890625,6.854534149169922E-7
roztoki,21.540778,49.744333,2017-01-01,05:00,2017,1,ZIMA,265.0217742919922,263.60162353515625,89.5020545846267,0.5034027099609375,2.7476654052734375,2.793399267511263,259.61791988965916,98706.7265625,8.568167686462402E-7
roztoki,21.540778,49.744333,2017-01-01,06:00,2017,1,ZIMA,264.9844207763672,263.63037109375,89.96493983621836,0.480804443359375,2.8042755126953125,2.8451949078853414,260.27100233558093,98696.1875,1.7285346984863281E-6
roztoki,21.540778,49.744333,2017-01-01,07:00,2017,1,ZIMA,265.2015075683594,263.9639129638672,90.80751661442356,0.4615936279296875,3.1522674560546875,3.1858843029599777,261.6692569015494,98705.4375,5.364418029785156E-6
roztoki,21.540778,49.744333,2017-01-01,08:00,2017,1,ZIMA,265.9382019042969,264.56349182128906,89.89715324476747,0.3737945556640625,2.9642486572265625,2.987723627063516,262.81288306535845,98712.18359375,2.8908252716064453E-6
roztoki,21.540778,49.744333,2017-01-01,09:00,2017,1,ZIMA,266.9253387451172,265.186279296875,87.47524514414746,0.4495086669921875,3.2569122314453125,3.287785778459293,262.14186340885226,98657.12109375,1.8849968910217285E-6
roztoki,21.540778,49.744333,2017-01-01,10:00,2017,1,ZIMA,267.9522399902344,265.78668212890625,84.74785587012195,0.4199676513671875,3.337188720703125,3.363510277341669,262.8273331196657,98608.1484375,7.525086402893066E-7
roztoki,21.540778,49.744333,2017-01-01,11:00,2017,1,ZIMA,268.79957580566406,266.34295654296875,82.97544879873571,0.475921630859375,3.6412811279296875,3.672251305580372,262.5535551811723,98519.359375,5.736947059631348E-7
roztoki,21.540778,49.744333,2017-01-01,12:00,2017,1,ZIMA,269.25450134277344,266.7088623046875,82.47114465619366,0.457794189453125,3.634521484375,3.6632392687729936,262.82098963450164,98444.11328125,3.650784492492676E-7
roztoki,21.540778,49.744333,2017-01-01,13:00,2017,1,ZIMA,269.2940216064453,266.9374084472656,83.67670328834215,0.380584716796875,3.453094482421875,3.474004351061143,263.71049918982374,98410.53515625,3.129243850708008E-7
roztoki,21.540778,49.744333,2017-01-01,14:00,2017,1,ZIMA,268.8026885986328,266.91380310058594,86.66259585761009,0.3739013671875,3.51336669921875,3.53320644677946,263.9253029332511,98368.54296875,3.725290298461914E-7
roztoki,21.540778,49.744333,2017-01-01,15:00,2017,1,ZIMA,268.0013885498047,266.54579162597656,89.5068345544158,0.311920166015625,3.507965087890625,3.5218053960755262,264.9187546746722,98367.46875,1.5676020552746195E-6
roztoki,21.540778,49.744333,2017-01-01,16:00,2017,1,ZIMA,267.5057830810547,266.1842803955078,90.39263300862318,0.2944488525390625,3.5994415283203125,3.6114649994923718,265.3233871188827,98342.32421875,1.0579824447631836E-6
roztoki,21.540778,49.744333,2017-01-01,17:00,2017,1,ZIMA,267.2069549560547,265.9216613769531,90.62199965158408,0.2969970703125,3.632699966430664,3.644820476495318,265.3260890760017,98323.38671875,1.475214958190918E-6
roztoki,21.540778,49.744333,2017-01-01,18:00,2017,1,ZIMA,267.06341552734375,265.80751037597656,90.81674560092853,0.316986083984375,3.7430152893066406,3.756413666440775,265.15932199887516,98316.37109375,2.2351741790771484E-6
roztoki,21.540778,49.744333,2017-01-01,19:00,2017,1,ZIMA,266.62156677246094,265.09521484375,88.90127600161081,0.42822265625,4.060405731201172,4.082924117014316,263.97966844086926,98306.1953125,2.2381544795280206E-6
roztoki,21.540778,49.744333,2017-01-01,20:00,2017,1,ZIMA,266.41944885253906,264.92063903808594,89.0737376517474,0.4893341064453125,4.074377059936523,4.103656454220751,263.151558704746,98294.8984375,2.8014183044433594E-6
roztoki,21.540778,49.744333,2017-01-01,21:00,2017,1,ZIMA,266.34910583496094,264.8356018066406,88.9658900344019,0.5159759521484375,4.001891136169434,4.035017205532954,262.6532129213411,98251.18359375,1.996910270918306E-6
roztoki,21.540778,49.744333,2017-01-01,22:00,2017,1,ZIMA,266.2248229980469,264.7340087890625,89.11211533015727,0.4995574951171875,3.923433303833008,3.9551089214525748,262.7437668922454,98213.296875,2.7120113372802734E-6
roztoki,21.540778,49.744333,2017-01-01,23:00,2017,1,ZIMA,266.08766174316406,264.63014221191406,89.33151250285562,0.43743896484375,3.8639774322509766,3.8886597234662257,263.5410729765007,98176.7265625,2.0563602447509766E-6
roztoki,21.540778,49.744333,2017-01-02,00:00,2017,1,ZIMA,265.94305419921875,264.54103088378906,89.70639372240147,0.407684326171875,3.8313589096069336,3.8529881396171786,263.9261690959248,98110.0703125,2.1457450998241256E-6
roztoki,21.540778,49.744333,2017-01-02,01:00,2017,1,ZIMA,265.9892272949219,264.59002685546875,89.72995232773172,0.4034881591796875,3.8964080810546875,3.9172437540580094,264.0878725735682,98089.15625,2.12155282497406E-6
roztoki,21.540778,49.744333,2017-01-02,02:00,2017,1,ZIMA,266.0413513183594,264.64430236816406,89.74929722029775,0.4371795654296875,3.92071533203125,3.945013902035607,263.63751334912024,98023.09765625,2.0135194063186646E-6
roztoki,21.540778,49.744333,2017-01-02,03:00,2017,1,ZIMA,266.04010009765625,264.629638671875,89.65549466842944,0.405364990234375,3.965911865234375,3.9865746823701316,264.163933856586,97981.59765625,1.959502696990967E-6
roztoki,21.540778,49.744333,2017-01-02,04:00,2017,1,ZIMA,266.1894989013672,264.75518798828125,89.50171135562172,0.4071502685546875,4.0373382568359375,4.0578161049134795,264.24140657951017,97925.046875,2.0191073417663574E-6
roztoki,21.540778,49.744333,2017-01-02,05:00,2017,1,ZIMA,266.31341552734375,264.8678741455078,89.4340593266235,0.4641265869140625,4.0757293701171875,4.102070621907471,263.50338780838456,97884.26171875,2.7865171432495117E-6
roztoki,21.540778,49.744333,2017-01-02,06:00,2017,1,ZIMA,266.4266662597656,264.9507141113281,89.23266616776306,0.56512451171875,3.9419097900390625,3.982212765103236,261.84148875021015,97869.80078125,3.2782554626464844E-6
roztoki,21.540778,49.744333,2017-01-02,07:00,2017,1,ZIMA,265.8399200439453,264.24964904785156,88.38916448743083,0.612213134765625,4.024322509765625,4.070623611313855,261.3500153963623,97901.9375,2.436339855194092E-6
roztoki,21.540778,49.744333,2017-01-02,08:00,2017,1,ZIMA,266.30162048339844,264.5456237792969,87.29782533708492,0.6590728759765625,3.8517608642578125,3.9077408833335032,260.2901819197566,97900.15234375,2.950429916381836E-6
roztoki,21.540778,49.744333,2017-01-02,09:00,2017,1,ZIMA,267.3976593017578,265.2249450683594,84.63499947535372,0.777587890625,3.676605224609375,3.7579341273193694,258.0581426630372,97854.6015625,1.6316771507263184E-6
roztoki,21.540778,49.744333,2017-01-02,10:00,2017,1,ZIMA,268.43882751464844,265.8246307373047,81.92759615536814,0.8946990966796875,3.364837646484375,3.4817551408446223,255.10977975981285,97836.50390625,1.2218952178955078E-6
roztoki,21.540778,49.744333,2017-01-02,11:00,2017,1,ZIMA,269.34996032714844,266.3893127441406,79.90320785827399,0.886688232421875,3.137847900390625,3.2607216176026563,254.22085086609843,97789.32421875,9.641050269237894E-7
roztoki,21.540778,49.744333,2017-01-02,12:00,2017,1,ZIMA,270.1124267578125,266.9612274169922,78.86279943990044,0.706756591796875,2.9915771484375,3.0739288728111096,256.70765987077885,97733.296875,2.2351741790771484E-6
