Punkt,Lon,Lat,Data,Godzina,Rok,Miesiac,Sezon,temperature_2m,dewpoint_temperature_2m,wilgotnosc_wzgledna,u_component_of_wind_10m,v_component_of_wind_10m,predkosc_wiatru,kierunek_wiatru,surface_pressure,total_precipitation_hourly
jodlowka,22.456861,49.898944,2017-01-01,00:00,2017,1,ZIMA,269.4637145996094,264.9554901123047,70.92479805135342,3.46600341796875,2.18048095703125,4.09483539319311,212.1742136300836,99019.80859375,0.0
jodlowka,22.456861,49.898944,2017-01-01,01:00,2017,1,ZIMA,269.21717834472656,264.9880676269531,72.42869066948168,3.4455718994140625,2.269256591796875,4.125710992476981,213.3689343400454,98973.69140625,0.0
jodlowka,22.456861,49.898944,2017-01-01,02:00,2017,1,ZIMA,268.8733215332031,264.98448181152344,74.3009949582822,3.41290283203125,2.3472137451171875,4.14213931515515,214.5181324611367,98917.50390625,1.862645149230957E-9
jodlowka,22.456861,49.898944,2017-01-01,03:00,2017,1,ZIMA,268.66676330566406,265.0128173828125,75.63041700822374,3.3944244384765625,2.49322509765625,4.211684776441602,216.2975052730847,98840.73046875,-1.862645149230957E-9
jodlowka,22.456861,49.898944,2017-01-01,04:00,2017,1,ZIMA,268.65126037597656,265.1253356933594,76.38269463473421,3.37054443359375,2.666259765625,4.297616888069538,218.34566068058865,98794.12890625,1.1175870895385742E-7
jodlowka,22.456861,49.898944,2017-01-01,05:00,2017,1,ZIMA,268.7581024169922,265.27935791015625,76.6810173791883,3.3803558349609375,2.7466888427734375,4.355583218120226,219.09538751339556,98735.7265625,1.043081283569336E-7
jodlowka,22.456861,49.898944,2017-01-01,06:00,2017,1,ZIMA,268.7871551513672,265.43310546875,77.42966258096683,3.355804443359375,2.7544708251953125,4.341489720006564,219.37942028483968,98734.1875,1.043081283569336E-7
jodlowka,22.456861,49.898944,2017-01-01,07:00,2017,1,ZIMA,268.7796325683594,265.9541473388672,80.6525789436933,3.8883514404296875,3.2616424560546875,5.075193438227757,219.99073086577928,98733.4375,1.1101365089416504E-6
jodlowka,22.456861,49.898944,2017-01-01,08:00,2017,1,ZIMA,269.2233581542969,266.26075744628906,79.87211955587475,3.5769195556640625,3.0912017822265625,4.727566177869186,220.8338319581597,98750.18359375,2.1606683731079102E-7
jodlowka,22.456861,49.898944,2017-01-01,09:00,2017,1,ZIMA,269.8335418701172,266.580810546875,78.2085277836697,3.7639617919921875,3.2901153564453125,4.999226683227548,221.1570202018796,98702.12109375,1.1175870895385742E-7
jodlowka,22.456861,49.898944,2017-01-01,10:00,2017,1,ZIMA,270.7041931152344,266.92144775390625,75.24672916382733,3.8545379638671875,3.335235595703125,5.097181514694036,220.86881917120232,98660.1484375,0.0
jodlowka,22.456861,49.898944,2017-01-01,11:00,2017,1,ZIMA,271.20191955566406,267.16131591796875,73.87096218523914,3.824554443359375,3.2799530029296875,5.0383835097824194,220.61652081042538,98577.359375,-7.450580596923828E-9
jodlowka,22.456861,49.898944,2017-01-01,12:00,2017,1,ZIMA,271.75840759277344,266.8690185546875,69.3450242721876,3.657989501953125,3.129638671875,4.81409653132286,220.54905598544823,98518.11328125,0.0
