Punkt,Lon,Lat,Data,Godzina,Rok,Miesiac,Sezon,temperature_2m,dewpoint_temperature_2m,wilgotnosc_wzgledna,u_component_of_wind_10m,v_component_of_wind_10m,predkosc_wiatru,kierunek_wiatru,surface_pressure,total_precipitation_hourly
tarnow-ii,20.986972,49.991194,2017-01-01,00:00,2017,1,ZIMA,268.8621520996094,263.7582244873047,67.57556222283976,1.36346435546875,1.65313720703125,2.1428713619592044,230.48507913536037,99399.80859375,0.0
tarnow-ii,20.986972,49.991194,2017-01-01,01:00,2017,1,ZIMA,268.36170959472656,263.6228332519531,69.42884638602008,1.1711578369140625,1.809295654296875,2.15526365988544,237.08500090765887,99355.69140625,0.0
tarnow-ii,20.986972,49.991194,2017-01-01,02:00,2017,1,ZIMA,268.0510559082031,263.53330993652344,70.57955788653942,1.04278564453125,1.9663543701171875,2.2257473821886022,242.06235767468974,99303.50390625,0.0
tarnow-ii,20.986972,49.991194,2017-01-01,03:00,2017,1,ZIMA,267.99293518066406,263.4815673828125,70.60283476365471,0.9774322509765625,2.14459228515625,2.356830472223409,245.49811436923906,99224.73046875,0.0
tarnow-ii,20.986972,49.991194,2017-01-01,04:00,2017,1,ZIMA,268.12782287597656,263.4515075683594,69.72095195370277,0.91253662109375,2.303955078125,2.478090411356126,248.39277100078982,99174.12890625,0.0
tarnow-ii,20.986972,49.991194,2017-01-01,05:00,2017,1,ZIMA,268.2405242919922,263.42974853515625,69.01137776220394,0.8432464599609375,2.4078216552734375,2.551209461381086,250.69916681627546,99108.7265625,0.0
tarnow-ii,20.986972,49.991194,2017-01-01,06:00,2017,1,ZIMA,268.2305145263672,263.39013671875,68.84861332791954,0.703460693359375,2.4449005126953125,2.544090301872057,253.948113421612,99097.1875,5.21540641784668E-8
tarnow-ii,20.986972,49.991194,2017-01-01,07:00,2017,1,ZIMA,268.0569763183594,263.7725067138672,71.88577444358573,0.5582733154296875,2.6405487060546875,2.6989195178381924,258.06214288752705,99096.4375,8.195638656616211E-8
tarnow-ii,20.986972,49.991194,2017-01-01,08:00,2017,1,ZIMA,268.9577331542969,264.19825744628906,69.44460607415378,0.3542633056640625,2.3753814697265625,2.4016535171544526,261.517456194781,99110.18359375,1.043081283569336E-7
tarnow-ii,20.986972,49.991194,2017-01-01,09:00,2017,1,ZIMA,270.6558074951172,264.969482421875,64.97586758349566,0.3850555419921875,2.3780059814453125,2.408979082144256,260.8022864064832,99059.12109375,0.0
tarnow-ii,20.986972,49.991194,2017-01-01,10:00,2017,1,ZIMA,272.2725524902344,265.68511962890625,60.97921670408114,0.4111785888671875,2.356719970703125,2.3923203908034036,260.1031824971683,99008.1484375,0.0
