Punkt,Lon,Lat,Data,Godzina,Rok,Miesiac,Sezon,temperature_2m,dewpoint_temperature_2m,wilgotnosc_wzgledna,u_component_of_wind_10m,v_component_of_wind_10m,predkosc_wiatru,kierunek_wiatru,surface_pressure,total_precipitation_hourly
wilkow,16.191167,51.735278,2017-01-01,00:00,2017,1,ZIMA,272.7644958496094,266.6566619873047,63.393089155335524,3.55096435546875,0.55548095703125,3.5941489879294024,188.8907830721884,101316.80859375,0.0
wilkow,16.191167,51.735278,2017-01-01,01:00,2017,1,ZIMA,272.50624084472656,266.3396301269531,63.04570070368142,3.3733062744140625,0.743865966796875,3.454349692425469,192.4355821896926,101243.69140625,0.0
wilkow,16.191167,51.735278,2017-01-01,02:00,2017,1,ZIMA,272.3420715332031,265.90440368652344,61.70511297874837,3.21954345703125,1.0659637451171875,3.3914213506459197,198.31927272177373,101170.50390625,0.0
wilkow,16.191167,51.735278,2017-01-01,03:00,2017,1,ZIMA,272.26637268066406,265.3917236328125,59.63899957009959,3.1795806884765625,1.31842041015625,3.44208740918206,202.5214525942624,101076.73046875,0.0
wilkow,16.191167,51.735278,2017-01-01,04:00,2017,1,ZIMA,272.33290100097656,264.9339294433594,57.28036499085665,3.16253662109375,1.364501953125,3.444343690725566,203.3381724847691,101019.12890625,0.0
wilkow,16.191167,51.735278,2017-01-01,05:00,2017,1,ZIMA,272.2659149169922,264.60357666015625,56.10085830796029,3.1782073974609375,1.2955169677734375,3.4321081677395173,202.1770401548222,100967.7265625,0.0
wilkow,16.191167,51.735278,2017-01-01,06:00,2017,1,ZIMA,272.1953582763672,264.36865234375,55.36720555981264,3.155609130859375,1.2115020751953125,3.3801784368529435,201.00280446799027,100950.1875,0.0
wilkow,16.191167,51.735278,2017-01-01,07:00,2017,1,ZIMA,274.0706481933594,266.6650848388672,57.71322856485763,3.4352264404296875,1.7733612060546875,3.865952749862181,207.3040645667232,100915.4375,0.0
wilkow,16.191167,51.735278,2017-01-01,08:00,2017,1,ZIMA,274.5280456542969,266.54591369628906,55.340268970754224,3.3435211181640625,1.8187408447265625,3.8061728452457007,208.54441028868663,100900.18359375,0.0
wilkow,16.191167,51.735278,2017-01-01,09:00,2017,1,ZIMA,274.8257293701172,266.795654296875,55.21852173880293,3.2805633544921875,1.9024200439453125,3.7922681796573827,210.10972474700762,100846.12109375,0.0
