Punkt,Lon,Lat,Data,Godzina,Rok,Miesiac,Sezon,temperature_2m,dewpoint_temperature_2m,wilgotnosc_wzgledna,u_component_of_wind_10m,v_component_of_wind_10m,predkosc_wiatru,kierunek_wiatru,surface_pressure,total_precipitation_hourly
koscian-bronsko,16.59225,52.084972,2017-01-01,00:00,2017,1,ZIMA,273.5125427246094,269.2386932373047,73.01281328645946,3.45916748046875,0.82989501953125,3.557325596761603,193.49095371593506,101520.80859375,1.7881393432617188E-6
koscian-bronsko,16.59225,52.084972,2017-01-01,01:00,2017,1,ZIMA,273.28553771972656,269.2536926269531,74.30564845915065,3.3049468994140625,0.992889404296875,3.450869944972083,196.72159335783007,101442.69140625,7.836148142814636E-6
koscian-bronsko,16.59225,52.084972,2017-01-01,02:00,2017,1,ZIMA,273.2366027832031,269.06260681152344,73.50904269630803,3.13262939453125,1.2798309326171875,3.3839819945686775,202.2223945544091,101363.50390625,1.383759081363678E-5
koscian-bronsko,16.59225,52.084972,2017-01-01,03:00,2017,1,ZIMA,273.06520080566406,268.4991455078125,71.34068870088385,3.0077056884765625,1.54498291015625,3.3813112399140586,207.1884277133318,101271.73046875,1.218169927597046E-6
koscian-bronsko,16.59225,52.084972,2017-01-01,04:00,2017,1,ZIMA,273.08094787597656,267.7620544433594,67.39647699733129,3.02777099609375,1.640869140625,3.4438131107018517,208.45501979487963,101219.12890625,1.30385160446167E-7
koscian-bronsko,16.59225,52.084972,2017-01-01,05:00,2017,1,ZIMA,273.0745086669922,267.10357666015625,64.13430178059431,3.0619964599609375,1.6421966552734375,3.4745693510713784,208.20535616346478,101170.7265625,8.940696716308594E-8
koscian-bronsko,16.59225,52.084972,2017-01-01,06:00,2017,1,ZIMA,273.0820770263672,266.63623046875,61.8502969220595,3.033538818359375,1.5474395751953125,3.4054261115716256,207.02659929887264,101157.1875,1.9371509552001953E-7
koscian-bronsko,16.59225,52.084972,2017-01-01,07:00,2017,1,ZIMA,274.1331481933594,268.9678192138672,68.41301189617074,3.3512420654296875,1.9305877685546875,3.867556400777939,209.9454385994018,101103.4375,0.0
koscian-bronsko,16.59225,52.084972,2017-01-01,08:00,2017,1,ZIMA,274.4674987792969,268.91700744628906,66.53501787984555,3.3601226806640625,2.0667877197265625,3.9448746377452313,211.59537902549263,101090.18359375,6.631016731262207E-7
koscian-bronsko,16.59225,52.084972,2017-01-01,09:00,2017,1,ZIMA,274.8647918701172,268.914794921875,64.65768988219088,3.1985321044921875,2.1114044189453125,3.832575667068951,213.42946802663033,101036.12109375,0.0
koscian-bronsko,16.59225,52.084972,2017-01-01,10:00,2017,1,ZIMA,275.1241149902344,268.81011962890625,62.9737139516537,3.0215301513671875,2.021759033203125,3.6355404060413705,213.78717745410972,100983.1484375,0.0
koscian-bronsko,16.59225,52.084972,2017-01-01,11:00,2017,1,ZIMA,275.37184143066406,268.65545654296875,61.15573436979428,3.224945068359375,1.7653045654296875,3.6764889368339397,208.69588147921502,100926.359375,0.0
koscian-bronsko,16.59225,52.084972,2017-01-01,12:00,2017,1,ZIMA,275.62559509277344,268.4920654296875,59.32697997718199,3.363067626953125,1.608154296875,3.727785415768677,205.5562304251217,100859.11328125,0.0
koscian-bronsko,16.59225,52.084972,2017-01-01,13:00,2017,1,ZIMA,275.4287872314453,268.5897521972656,60.60770280552917,3.338592529296875,1.628875732421875,3.7147592423129936,206.00742155269518,100821.53515625,0.0
koscian-bronsko,16.59225,52.084972,2017-01-01,14:00,2017,1,ZIMA,274.7675323486328,268.22630310058594,61.8183092360853,3.0906982421875,1.64129638671875,3.4994670241791,207.9702632164519,100784.54296875,7.450580596923828E-9
koscian-bronsko,16.59225,52.084972,2017-01-01,15:00,2017,1,ZIMA,273.9213104248047,267.70204162597656,63.134874126226926,3.016021728515625,1.754058837890625,3.488998348188286,210.18143947257244,100783.46875,8.52346317969932E-7
koscian-bronsko,16.59225,52.084972,2017-01-01,16:00,2017,1,ZIMA,273.8436737060547,267.5983428955078,62.99134040614695,3.0844879150390625,1.7976837158203125,3.570116586352265,210.23424460420418,100750.32421875,0.0
koscian-bronsko,16.59225,52.084972,2017-01-01,17:00,2017,1,ZIMA,273.9042205810547,267.7322082519531,63.35752775668973,3.1612548828125,1.764535903930664,3.6203755869199923,209.16919669565573,100733.38671875,0.0
