Punkt,Lon,Lat,Data,Godzina,Rok,Miesiac,Sezon,temperature_2m,dewpoint_temperature_2m,wilgotnosc_wzgledna,u_component_of_wind_10m,v_component_of_wind_10m,predkosc_wiatru,kierunek_wiatru,surface_pressure,total_precipitation_hourly
krasne,22.058889,50.064778,2017-01-01,00:00,2017,1,ZIMA,270.3191833496094,265.1586151123047,67.6026608960154,2.64764404296875,1.83575439453125,3.2218027834286667,214.73565639994285,99846.80859375,0.0
krasne,22.058889,50.064778,2017-01-01,01:00,2017,1,ZIMA,269.90467834472656,264.8865051269531,68.26181036628974,2.5295562744140625,1.976287841796875,3.2100418344722086,217.99974518405628,99801.69140625,4.470348358154297E-8
krasne,22.058889,50.064778,2017-01-01,02:00,2017,1,ZIMA,269.5451965332031,264.68760681152344,69.04096879990135,2.48614501953125,2.1186981201171875,3.2664657938402084,220.43770732607774,99745.50390625,4.470348358154297E-8
krasne,22.058889,50.064778,2017-01-01,03:00,2017,1,ZIMA,269.19801330566406,264.5343017578125,70.01692530148425,2.4881744384765625,2.31744384765625,3.4002291133580926,222.96529204267162,99662.73046875,4.0978193283081055E-8
krasne,22.058889,50.064778,2017-01-01,04:00,2017,1,ZIMA,269.01454162597656,264.4671325683594,70.61616296052657,2.46527099609375,2.462158203125,3.484219295824647,224.96380468015442,99617.12890625,8.940696716308594E-8
krasne,22.058889,50.064778,2017-01-01,05:00,2017,1,ZIMA,268.8967742919922,264.50396728515625,71.44831833940958,2.4321136474609375,2.5464935302734375,3.5213358394067185,226.31609738696122,99557.7265625,9.313225746154785E-8
krasne,22.058889,50.064778,2017-01-01,06:00,2017,1,ZIMA,268.9551239013672,264.62451171875,71.80726334193338,2.361663818359375,2.5904083251953125,3.505377480698615,227.64470811406127,99557.1875,8.195638656616211E-8
krasne,22.058889,50.064778,2017-01-01,07:00,2017,1,ZIMA,268.9886169433594,265.3135223388672,75.56393386708974,2.5358123779296875,3.0585174560546875,3.973018178293758,230.33792212145642,99561.4375,2.905726432800293E-7
krasne,22.058889,50.064778,2017-01-01,08:00,2017,1,ZIMA,269.3678894042969,265.62599182128906,75.24249343759564,2.3689117431640625,3.0042877197265625,3.825896960165083,231.7438576790754,99579.18359375,1.9371509552001953E-7
krasne,22.058889,50.064778,2017-01-01,09:00,2017,1,ZIMA,270.0581512451172,265.906982421875,73.03119310147115,2.4270477294921875,3.1602325439453125,3.9846744425416043,232.47586128098948,99525.12109375,4.470348358154297E-8
krasne,22.058889,50.064778,2017-01-01,10:00,2017,1,ZIMA,271.3565368652344,266.22418212890625,67.97988713824601,2.5498504638671875,3.233673095703125,4.118055254359507,231.74313666302004,99479.1484375,0.0
krasne,22.058889,50.064778,2017-01-01,11:00,2017,1,ZIMA,272.06715393066406,266.54998779296875,66.15908629039605,2.470062255859375,3.1237030029296875,3.9823018467129097,231.66488173736172,99394.359375,0.0
krasne,22.058889,50.064778,2017-01-01,12:00,2017,1,ZIMA,272.23106384277344,266.8026123046875,66.64723806514324,2.324005126953125,3.024169921875,3.8140009893126474,232.45854954345288,99332.11328125,0.0
krasne,22.058889,50.064778,2017-01-01,13:00,2017,1,ZIMA,271.9033966064453,267.0116271972656,69.36317714647285,2.020233154296875,2.817352294921875,3.4668164000162824,234.35690392762575,99302.53515625,0.0
krasne,22.058889,50.064778,2017-01-01,14:00,2017,1,ZIMA,270.9511260986328,266.77122497558594,73.04210453104876,2.1229248046875,3.08660888671875,3.7461932873156214,235.48037111078128,99264.54296875,0.0
krasne,22.058889,50.064778,2017-01-01,15:00,2017,1,ZIMA,269.7259979248047,266.35047912597656,77.45809023559887,2.056060791015625,3.275543212890625,3.867372404600524,237.88347875507287,99257.46875,8.672474791637796E-7
krasne,22.058889,50.064778,2017-01-01,16:00,2017,1,ZIMA,269.2342987060547,266.0690460205078,78.63914049719168,2.0766754150390625,3.4461212158203125,4.023472655996873,238.9263113812654,99226.32421875,0.0
krasne,22.058889,50.064778,2017-01-01,17:00,2017,1,ZIMA,268.9901580810547,265.9099426269531,79.11705696201258,2.1143798828125,3.521371841430664,4.10739113482792,239.01762200497646,99207.38671875,2.9802322387695312E-8
krasne,22.058889,50.064778,2017-01-01,18:00,2017,1,ZIMA,268.89349365234375,265.86805725097656,79.43668188780391,2.149017333984375,3.5936012268066406,4.187152406955293,239.12006192484378,99198.37109375,4.470348358154297E-8
krasne,22.058889,50.064778,2017-01-01,19:00,2017,1,ZIMA,268.75437927246094,265.02685546875,75.21538531020194,2.3828125,3.967632293701172,4.6281639370463825,239.01253752399995,99162.1953125,4.798174586539972E-7
krasne,22.058889,50.064778,2017-01-01,20:00,2017,1,ZIMA,268.68898010253906,265.00657653808594,75.46748828030454,2.5108184814453125,4.048986434936523,4.764294344083636,238.19651949620092,99140.8984375,4.470348358154297E-8
krasne,22.058889,50.064778,2017-01-01,21:00,2017,1,ZIMA,268.67723083496094,265.0074768066406,75.53952924544896,2.6302337646484375,3.9686880111694336,4.761156811815453,236.46571574026547,99100.18359375,4.485815452426323E-8
krasne,22.058889,50.064778,2017-01-01,22:00,2017,1,ZIMA,268.5881042480469,265.0191650390625,76.11717584666007,2.6499481201171875,3.824800491333008,4.653098305195565,235.28450405290937,99073.296875,4.470348358154297E-8
krasne,22.058889,50.064778,2017-01-01,23:00,2017,1,ZIMA,268.53492736816406,265.04811096191406,76.59461624307589,2.57318115234375,3.7301883697509766,4.531618531673044,235.40107652699794,99044.7265625,5.960464477539063E-8
krasne,22.058889,50.064778,2017-01-02,00:00,2017,1,ZIMA,268.39031982421875,265.08790588378906,77.67379375952879,2.457489013671875,3.7190542221069336,4.457646975623953,236.5439370490708,98985.0703125,1.191871774608444E-7
krasne,22.058889,50.064778,2017-01-02,01:00,2017,1,ZIMA,268.2958679199219,265.15252685546875,78.6225558619569,2.3761444091796875,3.7167205810546875,4.411357402309563,237.40872695544783,98964.15625,8.940696716308594E-8
krasne,22.058889,50.064778,2017-01-02,02:00,2017,1,ZIMA,268.2268981933594,265.18336486816406,79.22235247051086,2.3771209716796875,3.68438720703125,4.384679373150894,237.1703934723774,98902.09765625,8.940696716308594E-8
krasne,22.058889,50.064778,2017-01-02,03:00,2017,1,ZIMA,268.26666259765625,265.225341796875,79.2421386649304,2.349700927734375,3.789154052734375,4.458562872176316,238.1964408486009,98857.59765625,8.568167686462402E-8
krasne,22.058889,50.064778,2017-01-02,04:00,2017,1,ZIMA,268.2949676513672,265.27667236328125,79.38802218293462,2.3329315185546875,3.9318695068359375,4.571888809786625,239.31769125635324,98798.046875,7.078051567077637E-8
krasne,22.058889,50.064778,2017-01-02,05:00,2017,1,ZIMA,268.29974365234375,265.3346710205078,79.7166231121115,2.3947906494140625,3.9536590576171875,4.622384903748221,238.79608117630517,98753.26171875,1.1175870895385742E-7
krasne,22.058889,50.064778,2017-01-02,06:00,2017,1,ZIMA,268.2919006347656,265.3843078613281,80.07088367845576,2.55340576171875,3.8999176025390625,4.661463106211669,236.7858973044959,98737.80078125,1.043081283569336E-7
krasne,22.058889,50.064778,2017-01-02,07:00,2017,1,ZIMA,268.1367950439453,264.93519592285156,78.2423023560614,2.820220947265625,4.062408447265625,4.9453825518164845,235.23069539505929,98752.9375,1.4156103134155273E-7
krasne,22.058889,50.064778,2017-01-02,08:00,2017,1,ZIMA,268.75865173339844,265.2077331542969,76.25351681076353,2.5858306884765625,3.6554718017578125,4.477610349607666,234.72493472597034,98751.15234375,1.2665987014770508E-7
krasne,22.058889,50.064778,2017-01-02,09:00,2017,1,ZIMA,269.7003936767578,265.5765075683594,73.11599574855467,2.867431640625,3.683441162109375,4.667965617737457,232.10047525100796,98718.6015625,2.682209014892578E-7
krasne,22.058889,50.064778,2017-01-02,10:00,2017,1,ZIMA,270.88023376464844,266.0043182373047,69.2296036752085,3.1388397216796875,3.441986083984375,4.658281120835915,227.63747098448533,98708.50390625,8.940696716308594E-8
