Punkt,Lon,Lat,Data,Godzina,Rok,Miesiac,Sezon,temperature_2m,dewpoint_temperature_2m,wilgotnosc_wzgledna,u_component_of_wind_10m,v_component_of_wind_10m,predkosc_wiatru,kierunek_wiatru,surface_pressure,total_precipitation_hourly
radlin,17.534306,52.055,2017-01-01,00:00,2017,1,ZIMA,273.5555114746094,269.6781463623047,75.21781123827229,3.88104248046875,0.86016845703125,3.9752208126938746,192.49665171830327,101310.80859375,6.5267086029052734E-6
radlin,17.534306,52.055,2017-01-01,01:00,2017,1,ZIMA,273.55116271972656,269.8337707519531,76.1199228690943,3.7492828369140625,1.078826904296875,3.9014086277411573,196.05276024058716,101241.69140625,1.1473894119262695E-6
radlin,17.534306,52.055,2017-01-01,02:00,2017,1,ZIMA,273.4729309082031,269.80088806152344,76.3642814104867,3.60821533203125,1.3911590576171875,3.867110213828373,201.08430608210915,101164.50390625,2.1550804376602173E-6
radlin,17.534306,52.055,2017-01-01,03:00,2017,1,ZIMA,273.19606018066406,269.5753173828125,76.61008141595795,3.5301666259765625,1.68365478515625,3.911108518404761,205.498038826799,101073.73046875,2.8138980269432068E-5
radlin,17.534306,52.055,2017-01-01,04:00,2017,1,ZIMA,273.23133850097656,268.9827575683594,73.09774701812027,3.55316162109375,1.798095703125,3.9822237083330907,206.84192560394538,101022.12890625,1.8462538719177246E-5
radlin,17.534306,52.055,2017-01-01,05:00,2017,1,ZIMA,273.1233367919922,268.13287353515625,69.1030097771234,3.5893402099609375,1.8336029052734375,4.030566059137304,207.06007104220583,100969.7265625,1.7285346984863281E-6
radlin,17.534306,52.055,2017-01-01,06:00,2017,1,ZIMA,273.1738739013672,267.38232421875,65.04023511773494,3.615570068359375,1.7564239501953125,4.019623366938241,205.910225200534,100961.1875,1.379847526550293E-5
radlin,17.534306,52.055,2017-01-01,07:00,2017,1,ZIMA,274.1858825683594,269.7412567138672,72.21538589836656,3.7731170654296875,2.1171112060546875,4.3264965327894425,209.29695873131567,100903.4375,1.0952353477478027E-6
radlin,17.534306,52.055,2017-01-01,08:00,2017,1,ZIMA,274.5651550292969,269.47755432128906,68.90515247555614,3.7859039306640625,2.1781158447265625,4.367751962424893,209.91278801194588,100899.18359375,2.905726432800293E-7
radlin,17.534306,52.055,2017-01-01,09:00,2017,1,ZIMA,275.0503387451172,269.492919921875,66.63098546514983,3.8498992919921875,2.2979278564453125,4.483547366975094,210.83213196591248,100847.12109375,5.662441253662109E-7
radlin,17.534306,52.055,2017-01-01,10:00,2017,1,ZIMA,275.3955993652344,269.68511962890625,65.95081237384953,3.8154754638671875,2.399688720703125,4.507367188464052,212.1672529181093,100797.1484375,1.4230608940124512E-6
radlin,17.534306,52.055,2017-01-01,11:00,2017,1,ZIMA,275.97535705566406,269.63397216796875,63.04894819817358,3.464202880859375,2.0904998779296875,4.04609581440905,211.1092043492246,100729.359375,0.0
radlin,17.534306,52.055,2017-01-01,12:00,2017,1,ZIMA,276.09043884277344,269.1717529296875,60.41168916120304,3.740997314453125,1.790771484375,4.1475201525726355,205.57989091690413,100668.11328125,0.0
radlin,17.534306,52.055,2017-01-01,13:00,2017,1,ZIMA,275.7725372314453,268.5917053222656,59.15350993826265,3.874725341796875,1.684539794921875,4.225064590635076,203.49703106967345,100636.53515625,0.0
radlin,17.534306,52.055,2017-01-01,14:00,2017,1,ZIMA,275.0194854736328,268.09934997558594,60.13495402407677,3.5360107421875,1.84735107421875,3.9894959531603194,207.58433684548288,100596.54296875,7.450580596923828E-9
radlin,17.534306,52.055,2017-01-01,15:00,2017,1,ZIMA,273.8549041748047,267.44618225097656,62.21671192169893,3.376373291015625,2.049957275390625,3.949964737970535,211.2639344023719,100594.46875,8.52346317969932E-7
radlin,17.534306,52.055,2017-01-01,16:00,2017,1,ZIMA,273.7675018310547,267.2331085205078,61.60293768308159,3.4731597900390625,2.0720977783203125,4.044308115124781,210.82043174309098,100559.32421875,0.0
radlin,17.534306,52.055,2017-01-01,17:00,2017,1,ZIMA,273.7987518310547,267.2322082519531,61.45999763082699,3.5533447265625,1.970590591430664,4.063186683481892,209.01158636485917,100539.38671875,0.0
radlin,17.534306,52.055,2017-01-01,18:00,2017,1,ZIMA,273.71771240234375,267.40126037597656,62.621204912711235,3.615814208984375,1.8973121643066406,4.08336942275852,207.68716991585856,100521.37109375,0.0
radlin,17.534306,52.055,2017-01-01,19:00,2017,1,ZIMA,274.33055114746094,268.23583984375,63.831562146531084,3.73486328125,1.8826713562011719,4.1825417110998275,206.75177725519612,100466.1953125,4.351139750724542E-7
radlin,17.534306,52.055,2017-01-01,20:00,2017,1,ZIMA,274.49562072753906,268.54563903808594,64.57151017034923,3.6817169189453125,2.0460567474365234,4.212052668827717,209.06243383732593,100442.8984375,0.0
radlin,17.534306,52.055,2017-01-01,21:00,2017,1,ZIMA,274.51316833496094,268.6188049316406,64.84669511485092,3.7835540771484375,2.0643911361694336,4.310103504302592,208.61786284495423,100390.18359375,1.546709427202586E-10
radlin,17.534306,52.055,2017-01-01,22:00,2017,1,ZIMA,274.4299011230469,268.4117431640625,64.22508398059134,4.0034637451171875,2.014253616333008,4.481622428248317,206.70823621070832,100363.296875,2.384185791015625E-7
radlin,17.534306,52.055,2017-01-01,23:00,2017,1,ZIMA,274.22047424316406,268.03639221191406,63.37551058181033,4.26947021484375,1.9762821197509766,4.704685635861907,204.83880330941466,100337.7265625,0.0
radlin,17.534306,52.055,2017-01-02,00:00,2017,1,ZIMA,273.90789794921875,267.78907775878906,63.61453535222756,4.453582763671875,2.0217885971069336,4.891015085262653,204.41657686485266,100280.0703125,-1.492327328378451E-8
radlin,17.534306,52.055,2017-01-02,01:00,2017,1,ZIMA,273.3896179199219,267.78338623046875,66.0123450302454,4.5709686279296875,1.9608612060546875,4.973804466093099,203.21843950566097,100237.15625,8.754432201385498E-8
radlin,17.534306,52.055,2017-01-02,02:00,2017,1,ZIMA,272.8284606933594,267.81617736816406,68.92619544829755,4.8126678466796875,1.62188720703125,5.078611022198504,198.62401042004322,100197.09765625,3.334134817123413E-7
radlin,17.534306,52.055,2017-01-02,03:00,2017,1,ZIMA,272.29986572265625,267.862060546875,71.88248880412988,4.865325927734375,1.351654052734375,5.049590583538196,195.52602015110458,100169.59765625,8.158385753631592E-7
radlin,17.534306,52.055,2017-01-02,04:00,2017,1,ZIMA,272.2480926513672,268.18878173828125,73.96112310106857,4.9755096435546875,1.1603851318359375,5.109030227674485,193.12782866592798,100143.046875,8.098781108856201E-6
radlin,17.534306,52.055,2017-01-02,05:00,2017,1,ZIMA,272.29974365234375,268.9909210205078,78.27146614252565,4.9885406494140625,0.9751434326171875,5.082956081359833,191.06051866874645,100118.26171875,6.016343832015991E-5
radlin,17.534306,52.055,2017-01-02,06:00,2017,1,ZIMA,272.4833068847656,269.8823547363281,82.55423863908746,4.97332763671875,0.9389801025390625,5.061192687017041,190.69176940771047,100096.80078125,1.619383692741394E-4
radlin,17.534306,52.055,2017-01-02,07:00,2017,1,ZIMA,272.8867950439453,270.73988342285156,85.43437939268908,5.077056884765625,0.700103759765625,5.125100182980231,187.85132044543107,100108.9375,4.163384437561035E-5
radlin,17.534306,52.055,2017-01-02,08:00,2017,1,ZIMA,273.16490173339844,271.2409362792969,86.88194729575997,3.9784088134765625,0.7677764892578125,4.051816558607391,190.92299056362805,100135.15234375,5.459785461425781E-5
radlin,17.534306,52.055,2017-01-02,09:00,2017,1,ZIMA,273.5187530517578,271.6155700683594,87.05036962183785,4.495361328125,0.938323974609375,4.592246220721239,191.79015712820473,100139.6015625,6.888061761856079E-5
radlin,17.534306,52.055,2017-01-02,10:00,2017,1,ZIMA,274.04624938964844,271.8148651123047,85.03445787955079,6.2706756591796875,0.118743896484375,6.271799848176032,181.08484498942192,100148.50390625,7.756054401397705E-5
radlin,17.534306,52.055,2017-01-02,11:00,2017,1,ZIMA,274.27378845214844,272.0299377441406,84.9826882195362,5.775360107421875,-0.051605224609375,5.77559065980329,179.48805220300324,100125.32421875,7.562637318869747E-5
radlin,17.534306,52.055,2017-01-02,12:00,2017,1,ZIMA,274.6319580078125,272.1623992919922,83.63311530485963,5.549530029296875,-0.2740478515625,5.556292448298037,177.17290646483752,100102.296875,3.5569071769714355E-5
radlin,17.534306,52.055,2017-01-02,13:00,2017,1,ZIMA,274.82408142089844,272.32838439941406,83.49721852852139,5.1722564697265625,-0.345367431640625,5.18377426702459,176.1798558508699,100097.8671875,1.4767050743103027E-5
radlin,17.534306,52.055,2017-01-02,14:00,2017,1,ZIMA,274.61415100097656,272.53358459472656,86.03996542927862,4.3595123291015625,-0.3916168212890625,4.377066538482717,174.8668737662897,100114.19140625,2.9772520065307617E-5
radlin,17.534306,52.055,2017-01-02,15:00,2017,1,ZIMA,274.33900451660156,272.62757873535156,88.35807505142667,4.3383026123046875,-0.6190185546875,4.382242978997978,171.8794621166512,100171.46875,2.6702880859375E-5
radlin,17.534306,52.055,2017-01-02,16:00,2017,1,ZIMA,273.98681640625,272.6095733642578,90.50588600613067,4.257965087890625,-1.1314239501953125,4.405722057140121,165.11926559077745,100215.45703125,6.654858589172363E-5
radlin,17.534306,52.055,2017-01-02,17:00,2017,1,ZIMA,273.74560546875,272.3653259277344,90.4678982933562,3.983367919921875,-1.6050567626953125,4.294581143363888,158.05354137536722,100270.01953125,4.3129056678026245E-5
radlin,17.534306,52.055,2017-01-02,18:00,2017,1,ZIMA,273.6134948730469,272.03643798828125,89.16566002138717,3.9356231689453125,-1.908660888671875,4.374027448003139,154.12798605961052,100353.19921875,1.3078493054763385E-5
radlin,17.534306,52.055,2017-01-02,19:00,2017,1,ZIMA,273.03880310058594,271.2929382324219,88.01688588231178,3.8222808837890625,-1.50506591796875,4.107925823576956,158.50740425675883,100469.25390625,3.0717486652065418E-6
radlin,17.534306,52.055,2017-01-02,20:00,2017,1,ZIMA,272.4703674316406,270.7834014892578,88.34802323586521,3.833984375,-0.970123291015625,3.9548167324814343,165.80033569539444,100513.59765625,6.316568601505423E-7
radlin,17.534306,52.055,2017-01-02,21:00,2017,1,ZIMA,271.797607421875,270.28880310058594,89.4634630247316,3.9505615234375,-0.641448974609375,4.002298481809201,170.77742301412627,100549.6015625,8.940696716308594E-7
radlin,17.534306,52.055,2017-01-02,22:00,2017,1,ZIMA,271.24327087402344,269.8192443847656,89.98459263261665,3.9936065673828125,-0.450592041015625,4.0189459566495485,173.5626359851392,100584.43359375,7.450580596923828E-8
radlin,17.534306,52.055,2017-01-02,23:00,2017,1,ZIMA,270.8103790283203,269.4464416503906,90.35551269982278,4.0395965576171875,-0.2115020751953125,4.045129599422564,177.00288848907644,100591.31640625,0.0
radlin,17.534306,52.055,2017-01-03,00:00,2017,1,ZIMA,270.5548095703125,269.2937774658203,91.03501116733253,4.06256103515625,-0.0659027099609375,4.063095535616904,179.07063156890956,100602.96875,0.0
radlin,17.534306,52.055,2017-01-03,01:00,2017,1,ZIMA,270.52452087402344,269.38780212402344,91.88392217271743,3.9319915771484375,0.296234130859375,3.943134847180891,184.3084937978092,100607.16796875,0.0
radlin,17.534306,52.055,2017-01-03,02:00,2017,1,ZIMA,270.4385223388672,269.41241455078125,92.64204334534784,3.83099365234375,0.8361663818359375,3.9211843341534847,192.31248736922316,100602.28515625,0.0
