Punkt,Lon,Lat,Data,Godzina,Rok,Miesiac,Sezon,temperature_2m,dewpoint_temperature_2m,wilgotnosc_wzgledna,u_component_of_wind_10m,v_component_of_wind_10m,predkosc_wiatru,kierunek_wiatru,surface_pressure,total_precipitation_hourly
tuliglowy,22.600778,49.874222,2017-01-01,00:00,2017,1,ZIMA,269.8484802246094,264.8109588623047,68.14685859963473,3.61053466796875,1.96661376953125,4.111390313156138,208.576585802747,99166.80859375,0.0
tuliglowy,22.600778,49.874222,2017-01-01,01:00,2017,1,ZIMA,269.60389709472656,264.8474426269531,69.59892645898697,3.5842437744140625,2.047576904296875,4.127877737219931,209.73810365057943,99121.69140625,0.0
tuliglowy,22.600778,49.874222,2017-01-01,02:00,2017,1,ZIMA,269.2561340332031,264.87315368652344,71.57581384223447,3.54473876953125,2.1313934326171875,4.136183132892159,211.0178047267115,99065.50390625,0.0
tuliglowy,22.600778,49.874222,2017-01-01,03:00,2017,1,ZIMA,269.05348205566406,264.9229736328125,72.95333433173869,3.5223541259765625,2.29010009765625,4.201373233368975,213.03038407841626,98988.73046875,0.0
tuliglowy,22.600778,49.874222,2017-01-01,04:00,2017,1,ZIMA,269.02235412597656,265.0393981933594,73.788006587587,3.48968505859375,2.468994140625,4.274790506517606,215.27986587973749,98942.12890625,1.0803341865539551E-7
tuliglowy,22.600778,49.874222,2017-01-01,05:00,2017,1,ZIMA,269.1311492919922,265.18951416015625,74.04542000791594,3.4946136474609375,2.5377044677734375,4.3188272147398425,215.98625160272587,98884.7265625,1.0803341865539551E-7
tuliglowy,22.600778,49.874222,2017-01-01,06:00,2017,1,ZIMA,269.1562957763672,265.33740234375,74.75750250728291,3.472991943359375,2.5298614501953125,4.2967280570014506,216.07104036003943,98883.1875,1.043081283569336E-7
tuliglowy,22.600778,49.874222,2017-01-01,07:00,2017,1,ZIMA,269.1546325683594,265.9092254638672,78.14258679360255,4.0279998779296875,3.0009002685546875,5.022965801039578,216.68647987265365,98880.4375,1.0728836059570312E-6
tuliglowy,22.600778,49.874222,2017-01-01,08:00,2017,1,ZIMA,269.6374206542969,266.18653869628906,76.99620537149382,3.6814117431640625,2.8167877197265625,4.635416430128865,217.42097317543593,98899.18359375,2.1606683731079102E-7
tuliglowy,22.600778,49.874222,2017-01-01,09:00,2017,1,ZIMA,270.3081512451172,266.459716796875,74.79795174556628,3.9123992919921875,3.0293731689453125,4.948127930511371,217.75064064372435,98851.12109375,1.043081283569336E-7
tuliglowy,22.600778,49.874222,2017-01-01,10:00,2017,1,ZIMA,271.2080993652344,266.74957275390625,71.55188733347545,4.0029754638671875,3.067657470703125,5.043246466501852,217.46454535227105,98809.1484375,0.0
